Level,Date and Time,Source,Event ID,Task Category,
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.CrossDevice_cw5n1h2txyewy\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\SpotifyAB.SpotifyMusic_zpdnekdrzrea0\SystemAppData\Helium\UserClasses.dat was cleared updating 15 keys and creating 3 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\SpotifyAB.SpotifyMusic_zpdnekdrzrea0\SystemAppData\Helium\User.dat was cleared updating 23 keys and creating 4 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\SystemAppData\Helium\User.dat was cleared updating 64 keys and creating 5 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\AD2F1837.myHP_v10z8vjag6ke6\Settings\settings.dat was cleared updating 2 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\AD2F1837.myHP_v10z8vjag6ke6\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\AD2F1837.myHP_v10z8vjag6ke6\SystemAppData\Helium\User.dat was cleared updating 5 keys and creating 1 modified pages.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,TPM,17,None,The Trusted Platform Module (TPM) hardware failed to execute a TPM command.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Packages\AppUp.IntelGraphicsExperience_8j3eq9eme6ctt\S-1-5-21-1139039245-4285067927-1271566218-1001\SystemAppData\Helium\Cache\3883b1cbc30d8ef9_COM15.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\AppUp.IntelGraphicsExperience_8j3eq9eme6ctt\SystemAppData\Helium\UserClasses.dat was cleared updating 1 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\AppUp.IntelGraphicsExperience_8j3eq9eme6ctt\SystemAppData\Helium\User.dat was cleared updating 7 keys and creating 1 modified pages.
Warning,30-09-2024 18:47,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 and APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 to the user INFINITELOOP\HP SID (S-1-5-21-1139039245-4285067927-1271566218-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,30-09-2024 18:47,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\Settings\settings.dat was cleared updating 10 keys and creating 1 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat was cleared updating 88 keys and creating 10 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\SystemAppData\Helium\UserClasses.dat was cleared updating 15 keys and creating 3 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\AppData\Local\Packages\MicrosoftWindows.Client.WebExperience_cw5n1h2txyewy\SystemAppData\Helium\User.dat was cleared updating 37 keys and creating 5 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-TPM-WMI,1025,None,The TPM was successfully provisioned and is now ready for use.
Information,30-09-2024 18:47,Microsoft-Windows-TPM-WMI,1282,None,The TBS device identifier has been generated.
Warning,30-09-2024 18:47,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,30-09-2024 18:47,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,15,-10,Hive \??\C:\Users\HP\AppData\Local\Microsoft\Windows\UsrClass.dat was reorganized with a starting size of 10293248 bytes and an ending size of 10149888 bytes.
Information,30-09-2024 18:47,TPM,18,None,This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information,30-09-2024 18:47,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
WinSetupMon"
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\Users\HP\ntuser.dat was cleared updating 18843 keys and creating 2082 modified pages.
Information,30-09-2024 18:47,Microsoft-Windows-Winlogon,7001,-1101,User Logon Notification for Customer Experience Improvement Program
Information,30-09-2024 18:47,Microsoft-Windows-UserModePowerService,12,-10,Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe (process ID:4780) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30-09-2024 18:47,Microsoft-Windows-UserModePowerService,12,-10,Process C:\Windows\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe (process ID:4780) reset policy scheme from {381b4222-f694-41f0-9685-ff5bb260df2e} to {381b4222-f694-41f0-9685-ff5bb260df2e}
Information,30-09-2024 18:47,IntelHaxm,4,None,"The description for Event ID 4 from source IntelHaxm cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 


The message resource is present but the message was not found in the message table
"
Information,30-09-2024 18:47,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:3387/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:3392/rdp/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10246/MDEServer/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10247/apps/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:10243/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:10245/WMPNSSv4/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:443/sra_{BA195980-CD49-458b-9E23-C84EE0ADCD75}/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:15099/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:2869/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:5985/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:47001/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://+:5986/wsman/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL https://*:5358/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://+:80/Temporary_Listen_Addresses/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-HttpService,112,HTTP Setup Trace Task,"Attempted to reserve URL http://*:5357/. Status 0x0. Process Id 0x4 Executable path , User SYSTEM"
Information,30-09-2024 18:47,Microsoft-Windows-Kernel-General,15,-10,Hive \SystemRoot\System32\config\DRIVERS was reorganized with a starting size of 6684672 bytes and an ending size of 6549504 bytes.
Information,30-09-2024 18:47,Win32k,267,None,Touch/Touchpad Hardware Quality Assurance verification succeeded.
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2000‎-‎09‎-‎21T22:24:55.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2065‎-‎11‎-‎25T12:45:59.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎1996‎-‎03‎-‎03T12:43:25.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎1996‎-‎03‎-‎03T12:43:25.000000000Z) unloaded successfully."
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎1996‎-‎03‎-‎03T12:43:25.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1988‎-‎06‎-‎14T05:06:35.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,RST Middleware,25,None,"Found existing Intel® Optane™ Volume. 
 Fast Drive: SCSI Port: 0, SCSI Bus: 3, SCSI Target: 0, PCIe SSD, 29260513280 bytes, INTEL HBRPEKNX0202AHO                    
 Accelerated Drive: SCSI Port: 0, SCSI Bus: 2, SCSI Target: 0, PCIe SSD, 512110190592 bytes, INTEL HBRPEKNX0202AH                     
 System Volume: true 
 Is on hybrid: true"
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2060‎-‎05‎-‎05T22:51:42.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bfs' (10.0, ‎2021‎-‎05‎-‎03T11:37:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,30-09-2024 18:47,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,30-09-2024 18:47,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,30-09-2024 18:47,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,30-09-2024 18:47,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,30-09-2024 18:47,Microsoft-Windows-Directory-Services-SAM,16983,None,"The security account manager is now logging periodic summary events for remote clients that call legacy password change or set RPC methods.

For more information please see https://go.microsoft.com/fwlink/?linkid=2150956.
"
Information,30-09-2024 18:47,Microsoft-Windows-Directory-Services-SAM,16977,None,"The domain is configured with the following minimum password length-related settings.

MinimumPasswordLength: 0

RelaxMinimumPasswordLengthLimits: 0

MinimumPasswordLengthAudit: -1

For more information see https://go.microsoft.com/fwlink/?LinkId=2097191.
"
